FirstName,Gender,Popularity
Aadil,M,6
Aahil,M,3
Aaliya,F,3
Aaliyah,F,1402
Aalya,F,6
Aalyah,F,12
Aaron,M,23527
Aaronn,M,4
Aarush,M,4
Aayan,M,3
Ab,M,6
Abass,M,12
Abbas,M,11
Abbes,M,24
Abbie,F,12
Abby,F,869
Abbygaelle,F,80
Abbygaëlle,F,55
Abby-Gaëlle,F,6
Abd,M,573
Abdalah,M,9
Abdallah,M,3867
Abd-Allah,M,13
Abdarrahman,M,3
Abde,M,6
Abdel,M,2649
Abd-El,M,162
Ab-Del,M,3
Abdelah,M,3
Abdelakim,M,15
Abdelali,M,19
Abdelatif,M,54
Abdelaziz,M,930
Abdel-Aziz,M,6
Abdelazziz,M,6
Abdeldjalil,M,3
Abdelghani,M,59
Abdelhadi,M,16
Abdelhafid,M,261
Abdelhak,M,142
Abdelhakim,M,466
Abdel-Hakim,M,34
Abdelhalim,M,92
Abdel-Halim,M,7
Abdelhamid,M,283
Abdelilah,M,9
Abdelillah,M,3
Abdeljalil,M,46
Abdel-Jalil,M,3
Abdelkader,M,7749
Abdel-Kader,M,12
Abdelkarim,M,397
Abdel-Karim,M,18
Abdelkrim,M,1331
Abdel-Krim,M,9
Abdella,M,3
Abdellah,M,1101
Abdellatif,M,81
Abdellaziz,M,6
Abdelmadjid,M,44
Abdelmagid,M,10
Abdelmajid,M,140
Abdelmalek,M,139
Abdel-Malek,M,20
Abdelmalik,M,216
Abdel-Malik,M,74
Abdelnacer,M,3
Abdelnasser,M,6
Abdel-Nasser,M,4
Abdelnour,M,13
Abdelouahab,M,18
Abdelouhab,M,6
Abdelrahim,M,15
Abdel-Rahim,M,3
Abdelrahman,M,112
Abdel-Rahman,M,15
Abdelrahmane,M,73
Abdel-Rahmane,M,3
Abdelrahmen,M,3
Abdelrani,M,15
Abdelsamad,M,3
Abdelwahab,M,16
Abdenbi,M,6
Abdennour,M,18
Abdenor,M,9
Abdenour,M,42
Abderahim,M,15
Abderahman,M,96
Abderahmane,M,172
Abderemane,M,3
Abderhamane,M,3
Abderrahim,M,56
Abderrahman,M,160
Abderrahmane,M,734
Abderrahmen,M,3
Abderrazak,M,6
Abderrezak,M,3
Abdeslam,M,23
Abdessamad,M,101
Abdesselem,M,3
Abdillah,M,3
Abdon,F,37
Abdon,M,425
Abdonie,F,3
Abdonise,F,4
Abdou,M,375
Abdoul,M,715
Abdoulah,M,3
