name,sex,NameCount,Rand
Aadil,M,6,"0,370417538"
Aahil,M,3,"0,529993178"
Aaliya,F,3,"0,419772771"
Aaliyah,F,1402,"0,107283063"
Aalya,F,6,"0,430121443"
Aalyah,F,12,"0,026615046"
Aaron,M,23527,"0,038096422"
Aaronn,M,4,"0,258205457"
Aarush,M,4,"0,998152926"
Aayan,M,3,"0,287430447"
Ab,M,6,"0,722732587"
Abass,M,12,"0,268089875"
Abbas,M,11,"0,872167428"
Abbes,M,24,"0,655340322"
Abbie,F,12,"0,775394464"
Abby,F,869,"0,557205202"
Abbygaelle,F,80,"0,283745395"
Abbygaëlle,F,55,"0,020363294"
Abby-Gaëlle,F,6,"0,916013626"
Abd,M,573,"0,826001183"
Abdalah,M,9,"0,268805545"
Abdallah,M,3867,"0,868040457"
Abd-Allah,M,13,"0,135063753"
Abdarrahman,M,3,"0,877910989"
Abde,M,6,"0,608487996"
Abdel,M,2649,"0,345820508"
Abd-El,M,162,"0,984808887"
Ab-Del,M,3,"0,956859811"
Abdelah,M,3,"0,58176691"
Abdelakim,M,15,"0,279277569"
Abdelali,M,19,"0,095313747"
Abdelatif,M,54,"0,866357837"
Abdelaziz,M,930,"0,451748818"
Abdel-Aziz,M,6,"0,76376622"
Abdelazziz,M,6,"0,646760544"
Abdeldjalil,M,3,"0,294516611"
Abdelghani,M,59,"0,625384247"
Abdelhadi,M,16,"0,573104917"
Abdelhafid,M,261,"0,642582219"
Abdelhak,M,142,"0,976400224"
Abdelhakim,M,466,"0,128715239"
Abdel-Hakim,M,34,"0,080196189"
Abdelhalim,M,92,"0,78063432"
Abdel-Halim,M,7,"0,70772811"
Abdelhamid,M,283,"0,964253483"
Abdelilah,M,9,"0,948204573"
Abdelillah,M,3,"0,095090901"
Abdeljalil,M,46,"0,633449629"
Abdel-Jalil,M,3,"0,859825156"
Abdelkader,M,7749,"0,79970793"
Abdel-Kader,M,12,"0,164369977"
Abdelkarim,M,397,"0,682406918"
Abdel-Karim,M,18,"0,790582812"
Abdelkrim,M,1331,"0,872164002"
Abdel-Krim,M,9,"0,877462516"
Abdella,M,3,"0,927599715"
Abdellah,M,1101,"0,379311111"
Abdellatif,M,81,"0,419085353"
Abdellaziz,M,6,"0,806580247"
Abdelmadjid,M,44,"0,151242527"
Abdelmagid,M,10,"0,282735758"
Abdelmajid,M,140,"0,087527333"
Abdelmalek,M,139,"0,062959826"
Abdel-Malek,M,20,"0,729217615"
Abdelmalik,M,216,"0,262955306"
Abdel-Malik,M,74,"0,611483583"
Abdelnacer,M,3,"0,017878768"
Abdelnasser,M,6,"0,466373389"
